"","CAMPUS","CDB00A001219R","CDB00A001019D","CDH00A001219R","CDH00A001019D","CDW00A001219R","CDW00A001019D"
"615",15910129,54,-3,66,331,80,416
"616",15910130,36,59,55,468,64,234
"617",15910131,29,17,54,273,69,156
"618",15910133,76,21,59,659,78,269
"619",15910134,59,29,58,449,69,226
"620",15910135,38,34,47,347,68,361
"621",15910136,69,-3,77,332,83,543
"622",15910137,20,40,42,422,58,257
"623",15910138,29,108,33,452,54,100
"624",15910139,53,43,67,582,79,229
"625",15910140,56,71,56,282,78,286
"626",15910141,29,65,50,844,64,242
"627",15910142,49,-3,60,655,74,506
"628",15910143,79,62,80,297,80,358
"629",15910144,69,42,56,389,71,424
"630",15910145,74,-3,58,520,74,557
"631",15910146,78,37,52,270,73,198
"632",15910147,57,23,61,514,81,320
"633",15910160,,,,,,
"634",15910312,,,,,,
"635",15911001,37,423,37,3487,48,722
"636",15911003,,,,,,
"637",15911004,,,,,,
"638",15911005,-1,-1,-1,-1,,
"639",15911006,,,,,,
"640",15911042,17,216,28,1648,36,80
"641",15911043,35,251,26,2379,43,769
"642",15911044,17,349,24,2860,31,172
"643",15911102,-1,-1,30,158,40,40
"644",15911103,20,20,42,210,43,14
"645",15911104,29,28,32,176,23,22
"646",15911105,,,,,,
"647",15911106,-1,-1,26,246,21,14
"648",15911108,16,108,26,545,34,256
"649",15911109,,,,,,
"650",15911110,32,68,29,1108,37,340
"651",15912001,50,86,49,2262,62,149
"652",15912005,37,57,36,2550,49,65
"653",15912006,-1,-1,55,276,-1,-1
"654",15912041,68,25,36,1882,45,184
"655",15912042,9,32,22,2088,30,43
"656",15912044,40,162,38,2195,48,147
"657",15912045,30,56,37,2312,33,70
"658",15912101,27,15,43,702,79,43
"659",15912102,50,32,43,639,66,29
"660",15912103,35,23,39,764,0,6
"661",15912104,-1,-1,41,569,63,16
"662",15912105,70,10,43,704,27,11
"663",15912106,7,14,34,660,62,13
"664",15912107,44,43,52,691,78,41
"665",15912108,-1,-1,49,754,53,60
"666",15912109,50,74,41,520,54,95
"667",15912110,26,19,28,536,35,31
"668",15912111,72,18,44,652,58,31
"669",15913001,55,152,65,211,69,373
"670",15913003,,,,,,
"671",15913101,57,83,57,184,59,252
"672",15914001,60,235,70,457,70,447
"673",15914101,45,109,46,250,60,383
"674",15915001,44,257,53,3432,60,206
"675",15915002,43,174,40,3702,60,257
"676",15915003,46,301,61,2294,73,496
"677",15915004,,,,,,
"678",15915005,55,238,72,2069,83,805
"679",15915006,100,44,100,521,99,185
"680",15915007,63,300,67,2075,78,455
"681",15915008,,,,,,
"682",15915011,,,,,,
"683",15915013,,,,,,
"684",15915016,76,154,75,2565,82,1196
"685",15915019,62,315,66,3094,71,495
"686",15915022,46,356,49,3194,59,306
"687",15915023,61,167,72,2029,82,877
"688",15915024,61,413,67,2057,77,683
"689",15915025,71,324,70,1976,77,708
"690",15915035,,,,,,
"691",15915039,,,,,,
"692",15915041,29,303,38,2243,47,212
"693",15915042,32,114,33,2443,45,113
"694",15915043,32,115,38,2874,50,126
"695",15915044,28,103,30,2527,41,70
"696",15915045,37,196,46,1609,64,481
"697",15915046,40,186,35,2747,47,173
"698",15915047,42,104,43,2452,59,737
"699",15915048,23,212,38,1781,47,414
"700",15915049,39,126,36,2070,52,294
"701",15915050,37,124,45,2162,59,672
"702",15915051,42,293,42,2718,65,406
"703",15915052,42,154,48,2012,62,443
"704",15915053,55,178,51,2110,70,1083
"705",15915054,35,391,42,2631,58,785
"706",15915055,43,257,55,2677,67,1066
"707",15915056,37,235,41,2985,51,398
"708",15915057,63,98,70,2061,80,1632
"709",15915058,56,388,54,2184,71,1004
"710",15915059,55,309,57,2602,63,986
"711",15915060,58,273,58,1685,65,743
"712",15915062,,,,,,
"713",15915101,54,26,26,617,17,12
"714",15915102,52,-3,28,567,38,48
"715",15915103,27,51,44,479,60,45
"716",15915104,55,11,61,296,62,238
"717",15915105,0,14,25,551,24,37
"718",15915106,20,25,44,611,41,17
"719",15915107,39,41,46,768,74,46
